Gene_Symbol,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality
TGFB1,6,0.667,0.574,0.75
FN1,5,0.556,0.231,0.6
COL1A1,4,0.444,0.009,0.562
CTNNB1,3,0.333,0.167,0.562
MMP2,3,0.333,0.0,0.529
EGFR,3,0.333,0.009,0.429
MYC,3,0.333,0.009,0.429
SPP1,3,0.333,0.0,0.529
STAT3,3,0.333,0.167,0.562
POSTN,1,0.111,0.0,0.391
