cluster,gene,logfoldchanges,pvals_adj,scores
0,axo23.H7B,-1.086402,9.50034277237507e-14,-7.4568157
0,axo23.C10B,-0.72804534,7.365639675971533e-14,-7.4904065
0,axo20.E12A,-1.6286854,5.273902524134539e-14,-7.5342407
0,axo3.B1,-1.127384,4.9280793291253797e-14,-7.5432024
0,axo23.G10B,-0.67504495,3.0549862345474255e-14,-7.6054015
0,axo9.F2A,-0.9992746,2.8302173335892524e-14,-7.6153936
0,axo20.H10B,-1.6688076,1.6426747398157108e-14,-7.685461
0,axo20.E3A,-1.6164943,1.5883977502852077e-14,-7.6898756
0,axo9.H9A,-1.1169074,1.5623652745617992e-14,-7.692104
0,axo20.E9A,-2.0774682,9.980457187357237e-15,-7.7493353
0,axo9.H8A,-1.1296571,6.2249901225481534e-15,-7.809173
0,axo3.A8,-1.0654087,4.982869727088585e-15,-7.8372912
0,axo23.E8B,-1.0188143,3.782193203165887e-15,-7.872073
0,axo9.C12A,-1.1419955,3.5622404371943625e-15,-7.8796754
0,axo23.H6B,-0.9766063,3.272487731181599e-15,-7.890382
0,axo23.C2B,-0.8820006,2.4571829904624516e-15,-7.9261723
0,axo29.H11B,-0.92184305,2.05605148288809e-15,-7.9483976
0,axo3.H8,-1.046835,1.200926694627308e-15,-8.014864
0,axo20.C8B,-1.4341978,6.625038752822532e-16,-8.087763
0,axo20.D7B,-1.7651236,3.3753423980807015e-16,-8.16963
0,axo20.B12B,-1.5473262,2.9056132657709737e-16,-8.1877985
0,axo23.F4B,-0.8763427,7.918572373879818e-17,-8.34309
0,axo6.B6B,-1.4271488,7.132090008362142e-17,-8.35566
0,axo29.E5B,-1.0241086,4.543395269040676e-17,-8.408828
0,axo15.H6B,-1.2340641,3.6507295737298936e-17,-8.434557
0,axo20.B9B,-1.4315232,2.7150702778025578e-17,-8.469226
0,axo3.A11,-1.0098517,1.7877419893444154e-17,-8.517874
0,axo20.D4B,-1.6725075,1.4705556467812078e-17,-8.540576
0,axo9.E5A,-1.175463,1.2621951002055371e-17,-8.558317
0,axo9.H11A,-1.2010607,5.274847542313444e-18,-8.658564
0,axo10.F12,-1.2304692,4.4923235777459166e-18,-8.676956
0,axo10.G1,-1.1529968,2.7904530679287626e-18,-8.731174
0,axo9.E3A,-1.0913903,2.4139289511596943e-18,-8.747655
0,axo6.C6B,-1.3287086,1.5161715223386716e-18,-8.8001
0,axo20.E5B,-1.6502234,1.3034998312706092e-18,-8.817148
0,axo3.B4,-1.0995281,1.0737178761679783e-18,-8.838946
0,axo23.F8B,-1.119114,4.186029407134177e-19,-8.943698
0,axo20.H6B,-1.7768322,3.7982859890938466e-19,-8.95453
0,axo9.E1A,-1.1609336,3.1018594615253184e-19,-8.976952
0,axo20.H6A,-1.6181703,2.8308108255480424e-19,-8.987111
0,axo15.G11B,-1.2749999,2.0281400333304409e-19,-9.023799
0,axo9.G7A,-1.2380174,8.204077046866324e-20,-9.122482
0,axo9.F4A,-1.195789,3.814999960724314e-20,-9.205176
0,axo20.E8A,-1.7177321,2.2239916007874436e-20,-9.263053
0,axo23.H10B,-0.8011459,2.0599270823989287e-20,-9.271328
0,axo23.G2B,-0.85043126,1.6858310063420225e-20,-9.292775
0,axo23.F10B,-0.8134916,6.0190792868402475e-21,-9.401836
0,axo20.G6A,-1.5268644,5.542808021958409e-21,-9.410602
0,axo6.A3B,-1.2872962,4.0751704027920884e-21,-9.442973
0,axo23.E10B,-0.6951716,3.930808066651973e-21,-9.446848
0,axo9.F9A,-1.2180699,2.9111527388001477e-21,-9.478435
0,axo9.F11A,-1.1279773,2.4308410544151128e-21,-9.497332
0,axo9.C5A,-1.246253,1.6245476583102282e-21,-9.539316
0,axo20.B10B,-1.8455505,8.105079322606929e-22,-9.611262
0,axo20.C7B,-1.6446639,1.5988634026498548e-22,-9.77707
0,axo20.A2A,-1.4793378,1.3296608137115505e-22,-9.795814
0,axo29.E12B,-1.2832147,6.807169821073195e-23,-9.8633375
0,axo3.F5,-1.0874094,5.1946475045155026e-23,-9.890532
0,axo20.A4A,-1.4990035,3.94650273756312e-23,-9.918096
0,axo23.D2B,-0.94686556,2.7772295286739605e-23,-9.953207
0,axo20.A2B,-1.6729017,2.4726057334599307e-23,-9.964852
0,axo20.A12B,-1.793788,1.0472819574708694e-23,-10.049956
0,axo3.G12,-1.144865,5.240045857171149e-25,-10.341061
0,axo20.E6A,-1.5644305,4.117571024308782e-25,-10.364224
0,axo9.E11A,-1.2882266,3.9213546884833902e-25,-10.368982
0,axo20.B2B,-1.8286806,2.0831428275494875e-25,-10.429353
0,axo20.D11B,-1.8141568,1.7859396278429745e-25,-10.44406
0,axo23.A5B,-0.95943725,1.304699819611044e-25,-10.473902
0,axo20.A7B,-1.8733538,9.230506506377352e-26,-10.506687
0,axo10.F4,-1.3233997,6.810959969833334e-26,-10.535415
0,axo23.B9B,-1.0161132,6.746720271818126e-26,-10.536396
0,axo20.H12B,-1.8139936,3.9014221668909663e-26,-10.587889
0,axo29.E4B,-1.245792,2.908116482494738e-26,-10.615453
0,axo3.C12,-1.1606014,2.4376366125724863e-26,-10.63201
0,axo9.G8A,-1.3211529,2.1952195323458917e-26,-10.641862
0,axo20.F8A,-1.7796165,1.2446148866054535e-26,-10.694686
0,axo23.D8B,-1.1005228,9.067122061816876e-27,-10.7241
0,axo4.G3,-0.981838,8.694667351834151e-27,-10.728066
0,axo15.F10,-1.1249144,5.8646417950696554e-27,-10.764487
0,axo14.G10A,-0.96678567,2.9569332455256425e-27,-10.827562
0,axo6.E3B,-1.2820039,2.1835145766275142e-27,-10.855387
0,axo2.G6,-1.1147556,5.543249675209992e-28,-10.980016
0,axo9.H1A,-1.1221702,4.604790198226949e-28,-10.996846
0,axo20.G5A,-1.657668,3.5894201334121463e-28,-11.019381
0,axo3.A4,-0.83118445,2.9456037731584666e-28,-11.037248
0,axo29.F10B,-0.9839476,2.23214278643115e-28,-11.062234
0,axo14.A2A,-1.2417649,1.4066709489816912e-28,-11.103651
0,axo3.H3,-0.8027398,1.0118305692889554e-28,-11.133136
0,axo2.D9,-1.1369436,1.0061426645626278e-28,-11.133724
0,axo6.H5B,-1.1529337,6.490340260982197e-29,-11.172808
0,axo9.G1A,-1.2147896,5.06412974063992e-29,-11.194907
0,axo14.E10A,-1.3047738,3.720091666303453e-29,-11.222297
0,axo10.G12,-1.3707322,2.9089365495233277e-29,-11.244109
0,axo23.D11B,-1.1720576,2.5875709639808877e-29,-11.254521
0,axo14.C12A,-0.7578327,1.935918428431561e-29,-11.280159
0,axo20.D11A,-1.8140848,1.863473670429513e-29,-11.283599
0,axo23.C6B,-1.0588851,1.1534312163109649e-29,-11.325794
0,axo29.G2B,-1.3001411,1.0514843302964537e-29,-11.333984
0,axo20.G11A,-1.8109578,9.700675004438208e-30,-11.341125
0,axo9.D7A,-1.140342,5.017852409162616e-30,-11.398748
0,axo20.F3A,-2.103823,4.978499479807697e-30,-11.399519
0,axo3.F8,-1.2847943,3.240258173048847e-30,-11.436935
0,axo10.F10,-1.3941342,1.754336771886226e-30,-11.490145
0,axo3.C7,-1.0127953,1.6140931041783125e-30,-11.497425
0,axo3.G7,-1.2765677,5.2060972334767545e-31,-11.594875
0,axo29.E2B,-1.5726283,1.6172729234466062e-31,-11.694631
0,axo6.G9B,-1.3027276,1.2124554582568306e-31,-11.719148
0,axo3.E6,-1.2871253,1.2004747020132372e-31,-11.720073
0,axo14.A4A,-1.2159275,8.429722603649153e-32,-11.750069
0,axo10.A3B,-1.3576859,6.632081221146819e-32,-11.770402
0,axo10.C4,-1.4332713,3.959037562577329e-32,-11.813929
