Ortholog_Gene_Symbol,Axolotl_scRNA,Mouse_BulkRNA,Human_Proteomics,Conservation_Score
AXO12.D2,True,False,False,1
AXO12.D3,True,False,False,1
AXO12.D6,True,False,False,1
AXO12.D7,True,False,False,1
AXO12.D9,True,False,False,1
AXO12.E10,True,False,False,1
AXO12.F5,True,False,False,1
AXO12.G1,True,False,False,1
AXO12.G10,True,False,False,1
AXO12.G7,True,False,False,1
AXO12.G9,True,False,False,1
AXO12.H7,True,False,False,1
AXO13.A11B,True,False,False,1
AXO13.B2B,True,False,False,1
AXO13.B3B,True,False,False,1
AXO13.B4B,True,False,False,1
AXO13.C1B,True,False,False,1
AXO13.C2B,True,False,False,1
AXO13.C4B,True,False,False,1
AXO13.C7B,True,False,False,1
AXO13.C8B,True,False,False,1
AXO13.D10B,True,False,False,1
AXO13.D2B,True,False,False,1
AXO13.D4B,True,False,False,1
AXO13.D5B,True,False,False,1
AXO13.D7B,True,False,False,1
AXO13.D8B,True,False,False,1
AXO13.E12B,True,False,False,1
AXO13.E4B,True,False,False,1
AXO13.F4B,True,False,False,1
AXO13.F5B,True,False,False,1
AXO13.F6B,True,False,False,1
AXO13.F9B,True,False,False,1
AXO13.G10B,True,False,False,1
AXO13.G11B,True,False,False,1
AXO13.G12B,True,False,False,1
AXO13.G3B,True,False,False,1
AXO13.G5B,True,False,False,1
AXO13.G6B,True,False,False,1
AXO13.G8B,True,False,False,1
AXO13.G9B,True,False,False,1
AXO13.H11B,True,False,False,1
AXO13.H12B,True,False,False,1
AXO13.H1B,True,False,False,1
AXO13.H3B,True,False,False,1
AXO13.H4B,True,False,False,1
AXO13.H6B,True,False,False,1
AXO14.A10A,True,False,False,1
AXO14.A11A,True,False,False,1
AXO14.A12A,True,False,False,1
AXO14.A2A,True,False,False,1
AXO14.A3A,True,False,False,1
AXO14.A4A,True,False,False,1
AXO14.A6A,True,False,False,1
AXO14.A8A,True,False,False,1
AXO14.B10A,True,False,False,1
AXO14.B11A,True,False,False,1
AXO14.B1A,True,False,False,1
AXO14.B2A,True,False,False,1
AXO14.B3A,True,False,False,1
AXO14.B4A,True,False,False,1
AXO14.B6A,True,False,False,1
AXO14.B7A,True,False,False,1
AXO14.B8A,True,False,False,1
AXO14.C11A,True,False,False,1
AXO14.C12A,True,False,False,1
AXO14.C1A,True,False,False,1
